+---------------+------------------+-----------------+
| Player's name | Player's surname | Sessions played |
| Владимир      | Волков           |              17 |
| Егор          | Максимов         |              17 |
| Николай       | Иванов           |              17 |
| Тимофей       | Павлов           |              17 |
| Дмитрий       | Павлов           |              17 |
| Григорий      | Захаров          |              17 |
| Светлана      | Семенова         |              17 |
| Александра    | Федорова         |              17 |
| Екатерина     | Егорова          |              17 |
| Маргарита     | Киселева         |              17 |
| Юрий          | Волков           |              17 |
| Александра    | Петрова          |              17 |
| Андрей        | Петров           |              17 |
| Оксана        | Егорова          |              17 |
| Игорь         | Петров           |              17 |
| Антон         | Сергеев          |              17 |
| Олег          | Соколов          |              17 |
| Галина        | Козлова          |              17 |
| Ангелина      | Козлова          |              17 |
| Алексей       | Морозов          |              17 |
| Антон         | Максимов         |              17 |
| Максим        | Ильин            |              17 |
| Михаил        | Максимов         |              17 |
| Ольга         | Васильева        |              17 |
| Людмила       | Лебедева         |              17 |
| Алина         | Киселева         |              17 |
| Павел         | Павлов           |              17 |
| Маргарита     | Макарова         |              17 |
| Надежда       | Сергеева         |              17 |
| Ольга         | Иванова          |              17 |
| Юлия          | Семенова         |              17 |
| Тимофей       | Иванов           |              17 |
| Сергей        | Васильев         |              17 |
| Артем         | Павлов           |              17 |
| Елена         | Федорова         |              16 |
| Виталий       | Кузнецов         |              16 |
| Денис         | Андреев          |              16 |
| Анастасия     | Макарова         |              16 |
| Ангелина      | Волкова          |              16 |
| Елена         | Васильева        |              16 |
| Виктория      | Новикова         |              16 |
| Маргарита     | Киселева         |              16 |
| Иван          | Васильев         |              16 |
| Егор          | Захаров          |              16 |
| Галина        | Семенова         |              16 |
| Оксана        | Киселева         |              16 |
| Ольга         | Федорова         |              16 |
| Антон         | Волков           |              16 |
| Василий       | Сергеев          |              16 |
| Павел         | Максимов         |              16 |
| Тамара        | Лебедева         |              16 |
| Павел         | Федоров          |              16 |
| Ангелина      | Волкова          |              16 |
| Светлана      | Егорова          |              16 |
| Анастасия     | Павлова          |              16 |
| Екатерина     | Ильина           |              16 |
| Алина         | Киселева         |              16 |
| Тимофей       | Павлов           |              16 |
| Виталий       | Егоров           |              16 |
| Анна          | Федорова         |              16 |
| Максим        | Волков           |              16 |
| Иван          | Соколов          |              16 |
| Антон         | Морозов          |              16 |
| Александра    | Лебедева         |              16 |
| Иван          | Козлов           |              16 |
| Артем         | Павлов           |              16 |
| Александр     | Макаров          |              16 |
| Олег          | Захаров          |              16 |
| Олег          | Павлов           |              16 |
| Дмитрий       | Лебедев          |              16 |
| Тамара        | Козлова          |              16 |
| Роман         | Васильев         |              16 |
| Мария         | Козлова          |              16 |
| Олег          | Павлов           |              16 |
| Анастасия     | Ильина           |              16 |
| Антон         | Морозов          |              16 |
| Максим        | Козлов           |              16 |
| Дарья         | Захарова         |              16 |
| Антон         | Лебедев          |              16 |
| Юлия          | Васильева        |              16 |
| Ангелина      | Макарова         |              16 |
| Сергей        | Киселев          |              16 |
| Дарья         | Макарова         |              16 |
| Наталья       | Семенова         |              16 |
| Наталья       | Егорова          |              16 |
| Александра    | Захарова         |              16 |
| Виктор        | Новиков          |              16 |
| Артем         | Егоров           |              16 |
| Светлана      | Павлова          |              15 |
| Иван          | Павлов           |              15 |
| Тамара        | Семенова         |              15 |
| Вячеслав      | Макаров          |              15 |
| Григорий      | Семенов          |              15 |
| Екатерина     | Киселева         |              15 |
| Григорий      | Новиков          |              15 |
| Дарья         | Кузнецова        |              15 |
| Людмила       | Смирнова         |              15 |
| Игорь         | Кузнецов         |              15 |
| Юлия          | Васильева        |              15 |
| Дарья         | Новикова         |              15 |
| Виктор        | Макаров          |              15 |
| Ангелина      | Иванова          |              15 |
| Александра    | Киселева         |              15 |
| Ольга         | Захарова         |              15 |
| Антон         | Киселев          |              15 |
| Сергей        | Павлов           |              15 |
| Наталья       | Андреева         |              15 |
| Евгения       | Андреева         |              15 |
| Маргарита     | Сергеева         |              15 |
| Игорь         | Козлов           |              15 |
| Екатерина     | Волкова          |              15 |
| Наталья       | Егорова          |              15 |
| Денис         | Гусев            |              15 |
| Максим        | Васильев         |              15 |
| Александра    | Лебедева         |              15 |
| Григорий      | Новиков          |              15 |
| Ангелина      | Дмитриева        |              15 |
| Виталий       | Волков           |              15 |
| Дмитрий       | Васильев         |              15 |
| Дарья         | Макарова         |              15 |
| Антон         | Морозов          |              15 |
| Николай       | Васильев         |              15 |
| Алина         | Семенова         |              15 |
| Ольга         | Макарова         |              15 |
| Елена         | Павлова          |              15 |
| Владимир      | Киселев          |              15 |
| Мария         | Дмитриева        |              15 |
| Анастасия     | Макарова         |              15 |
| Артем         | Семенов          |              15 |
| Николай       | Гусев            |              15 |
| Григорий      | Макаров          |              15 |
| Артем         | Гусев            |              15 |
| Александр     | Павлов           |              15 |
| Елена         | Васильева        |              15 |
| Людмила       | Кузнецова        |              15 |
| Анна          | Васильева        |              15 |
| Ирина         | Сергеева         |              15 |
| Тимофей       | Кузнецов         |              15 |
| Людмила       | Гусева           |              15 |
| Николай       | Петров           |              15 |
| Николай       | Кузнецов         |              15 |
| Николай       | Киселев          |              15 |
| Игорь         | Максимов         |              15 |
| Алина         | Волкова          |              15 |
| Ольга         | Козлова          |              15 |
| Владимир      | Смирнов          |              15 |
| Алина         | Киселева         |              15 |
| Андрей        | Федоров          |              15 |
| Игорь         | Киселев          |              15 |
| Виктория      | Егорова          |              15 |
| Татьяна       | Андреева         |              15 |
| Екатерина     | Васильева        |              15 |
| Виктория      | Павлова          |              15 |
| Ирина         | Макарова         |              15 |
| Людмила       | Кузнецова        |              15 |
| Лариса        | Козлова          |              14 |
| Михаил        | Семенов          |              14 |
| Антон         | Козлов           |              14 |
| Сергей        | Семенов          |              14 |
| Сергей        | Гусев            |              14 |
| Ольга         | Дмитриева        |              14 |
| Юрий          | Козлов           |              14 |
| Сергей        | Новиков          |              14 |
| Олег          | Волков           |              14 |
| Максим        | Новиков          |              14 |
| Ирина         | Макарова         |              14 |
| Артем         | Киселев          |              14 |
| Михаил        | Кузнецов         |              14 |
| Виталий       | Козлов           |              14 |
| Людмила       | Дмитриева        |              14 |
| Александра    | Максимова        |              14 |
| Галина        | Кузнецова        |              14 |
| Дмитрий       | Максимов         |              14 |
| Елена         | Волкова          |              14 |
| Егор          | Козлов           |              14 |
| Владимир      | Козлов           |              14 |
| Дмитрий       | Петров           |              14 |
| Анна          | Лебедева         |              14 |
| Виктория      | Васильева        |              14 |
| Ангелина      | Смирнова         |              14 |
| Александра    | Макарова         |              14 |
| Анна          | Сергеева         |              14 |
| Андрей        | Волков           |              14 |
| Олег          | Максимов         |              14 |
| Виктория      | Волкова          |              14 |
| Олег          | Лебедев          |              14 |
| Дарья         | Максимова        |              14 |
| Виктор        | Петров           |              14 |
| Василий       | Смирнов          |              14 |
| Татьяна       | Новикова         |              14 |
| Виталий       | Киселев          |              13 |
| Екатерина     | Киселева         |              13 |
| Антон         | Соколов          |              13 |
| Ангелина      | Васильева        |              13 |
| Екатерина     | Соколова         |              13 |
| Мария         | Егорова          |              13 |
| Дмитрий       | Павлов           |              13 |
| Людмила       | Козлова          |              13 |
| Виталий       | Гусев            |              13 |
| Дарья         | Морозова         |              13 |
| Михаил        | Семенов          |              13 |
| Анна          | Андреева         |              13 |
| Наталья       | Павлова          |              13 |
| Максим        | Павлов           |              13 |
| Светлана      | Новикова         |              13 |
| Виктор        | Лебедев          |              13 |
| Николай       | Ильин            |              13 |
| Иван          | Макаров          |              13 |
| Юлия          | Смирнова         |              13 |
| Ирина         | Васильева        |              13 |
| Максим        | Лебедев          |              13 |
| Виталий       | Макаров          |              13 |
| Галина        | Кузнецова        |              13 |
| Галина        | Соколова         |              13 |
| Александр     | Новиков          |              13 |
| Григорий      | Андреев          |              13 |
| Анастасия     | Васильева        |              13 |
| Тамара        | Кузнецова        |              13 |
| Иван          | Семенов          |              12 |
| Лариса        | Павлова          |              12 |
| Игорь         | Сергеев          |              12 |
| Артем         | Захаров          |              12 |
| Оксана        | Козлова          |              12 |
| Евгения       | Лебедева         |              12 |
| Андрей        | Сергеев          |              12 |
| Максим        | Семенов          |              12 |
| Оксана        | Павлова          |              12 |
| Александр     | Дмитриев         |              12 |
| Тамара        | Новикова         |              12 |
| Алина         | Гусева           |              12 |
| Галина        | Сергеева         |              12 |
| Сергей        | Смирнов          |              12 |
| Денис         | Сергеев          |              12 |
| Юлия          | Соколова         |              12 |
| Мария         | Егорова          |              12 |
| Ангелина      | Волкова          |              12 |
| Григорий      | Ильин            |              12 |
| Виктория      | Смирнова         |              12 |
| Ангелина      | Козлова          |              12 |
| Светлана      | Максимова        |              12 |
| Алексей       | Смирнов          |              12 |
| Виктор        | Волков           |              12 |
| Мария         | Новикова         |              12 |
| Елена         | Киселева         |              12 |
| Ольга         | Егорова          |              11 |
| Мария         | Кузнецова        |              11 |
| Андрей        | Сергеев          |              11 |
| Светлана      | Андреева         |              11 |
| Николай       | Захаров          |              11 |
| Вячеслав      | Петров           |              11 |
| Максим        | Кузнецов         |              11 |
| Светлана      | Гусева           |              10 |
| Людмила       | Козлова          |              10 |
| Надежда       | Иванова          |              10 |
| Тимофей       | Смирнов          |              10 |
| Сергей        | Гусев            |              10 |
| Виктор        | Козлов           |              10 |
| Мария         | Смирнова         |               9 |
| Валентина     | Киселева         |               9 |
| Маргарита     | Дмитриева        |               9 |
| Ирина         | Смирнова         |               9 |
| Роман         | Петров           |               8 |
+---------------+------------------+-----------------+
557 rows in set (0.18 sec)

mysql>
